NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
1311,DEPUTADO FEDERAL,CARMEN HELENA FERREIRA FORO,36056
1312,DEPUTADO FEDERAL,PAULO SÃRGIO SOUZA,7438
1313,DEPUTADO FEDERAL,DILVANDA FURTADO FARO,150065
1314,DEPUTADO FEDERAL,ANA JÃLIA DE VASCONCELOS CAREPA,48662
1315,DEPUTADO FEDERAL,PEDRO SOARES LEÃO,2664
1321,DEPUTADO FEDERAL,AIRTON LUIZ FALEIRO,79862
1331,DEPUTADO FEDERAL,WHEBERTON ALUIZIO BONFIM ARAÃJO,3230
1365,DEPUTADO FEDERAL,ANA PATRÃCIA DA GAMA BITTENCOURT,1881
1369,DEPUTADO FEDERAL,EDSON MATOS DOS SANTOS JUNIOR,3105
1400,DEPUTADO FEDERAL,MARCIO DESIDERIO TEIXEIRA MIRANDA,62499
1402,DEPUTADO FEDERAL,MARIA IDALINA DE BARROS FAÃANHA,374
1408,DEPUTADO FEDERAL,JACKSON DOUGLAS SANTANA FERREIRA,1718
1411,DEPUTADO FEDERAL,MOISES COSTA DA CONCEIÃÃO,4826
1412,DEPUTADO FEDERAL,EBERSON GUIMARÃES DE OLIVEIRA,589
1414,DEPUTADO FEDERAL,LOREDAN DE ANDRADE MELLO,12525
1415,DEPUTADO FEDERAL,HILDA DO SOCORRO DA SILVA MONTEIRO,846
1422,DEPUTADO FEDERAL,ROBERTA PEREIRA DA SILVA GUEDES,2035
1432,DEPUTADO FEDERAL,AUGUSTO OLIMPIO DA SILVA SANTOS,129
1433,DEPUTADO FEDERAL,JOSIVALDO ARAÃJO GOMES,1467
1438,DEPUTADO FEDERAL,VINICIUS DE SOUSA ALVES,436
1441,DEPUTADO FEDERAL,ILDEFONSO GONÃALVES HANNEMANN,360
1444,DEPUTADO FEDERAL,AGENOR DE JESUS SIQUEIRA SANTOS,4023
1455,DEPUTADO FEDERAL,ALESSANDRA AMARAL DE SOUZA,8193
1456,DEPUTADO FEDERAL,PAULO EDUARDO MAESTRI BENGTSON,99804
1477,DEPUTADO FEDERAL,GEYZA VIEIRA DO ROSÃRIO KOBAYASHI,1036
1484,DEPUTADO FEDERAL,ROBERTO JEFFERSON MONTEIRO FRANCISCO FILHO,1833
1488,DEPUTADO FEDERAL,RUTE ANDRÃA DE SOUZA CAMPOS,290
1500,DEPUTADO FEDERAL,OLIVAL HENRIQUE MARQUES DE SOUZA,102435
1501,DEPUTADO FEDERAL,WAGNE COSTA MACHADO,73798
1510,DEPUTADO FEDERAL,ANDREIA BRITO GONÃALVES SIQUEIRA,125004
1511,DEPUTADO FEDERAL,ANTONIO LEOCADIO DOS SANTOS,126535
1512,DEPUTADO FEDERAL,KENISTON DE JESUS REGO BRAGA,126027
1515,DEPUTADO FEDERAL,ELCIONE THEREZINHA ZAHLUTH BARBALHO,175498
1516,DEPUTADO FEDERAL,URSULA VIDAL SANTIAGO DE MENDONÃA,29655
1522,DEPUTADO FEDERAL,HENDERSON LIRA PINTO,74746
1551,DEPUTADO FEDERAL,PAULO HENRIQUE DA SILVA GOMES,59597
1555,DEPUTADO FEDERAL,JOSE BENITO PRIANTE JUNIOR,167275
1567,DEPUTADO FEDERAL,ALESSANDRA HABER CARVALHO SANTOS,258907
1577,DEPUTADO FEDERAL,RENILCE CONCEIÃÃO NICODEMOS DE ALBUQUERQUE,162208
1590,DEPUTADO FEDERAL,ALCIDES EUFRÃSIO DA CONCEIÃÃO NEGRÃO,4861
1599,DEPUTADO FEDERAL,FELIPE TIAGO DA CRUZ DEZINCOURT,1905
1616,DEPUTADO FEDERAL,WELLINGTA JOSYANE SIQUEIRA MACÃDO,628
1800,DEPUTADO FEDERAL,ELSON LOURINHO DA CONCEIÃÃO,54
1818,DEPUTADO FEDERAL,MAIAL PAIAKAN KAIAPÃ,6639
1900,DEPUTADO FEDERAL,SANDRA PALHARINI CAMPANA,1327
1901,DEPUTADO FEDERAL,KLEVERTON ANTUNES FIRMINO GOMES,15284
1909,DEPUTADO FEDERAL,DARIO GONCALVES PANTOJA JUNIOR,5063
1910,DEPUTADO FEDERAL,LUCELINO LIMA DE SOUSA,4654
1911,DEPUTADO FEDERAL,WALDEMIR LISBOA E SILVA NETO D IPPOLITO,4527
1913,DEPUTADO FEDERAL,MICHELE CRISTINA FARIAS DA SILVA,720
1915,DEPUTADO FEDERAL,ADRIANO PIETRO SANTIAGO VIANA,920
1919,DEPUTADO FEDERAL,NAYARA BARBALHO DA CRUZ,17731
1922,DEPUTADO FEDERAL,ANDRE LUIS DOS SANTOS PINHEIRO,3146
1933,DEPUTADO FEDERAL,ANA CAROLINA SILVA DA CUNHA LIMA,327
1935,DEPUTADO FEDERAL,REFSON SILVA NASCIMENTO,782
1944,DEPUTADO FEDERAL,CARLOS EMIDIO CANCELA,1085
1955,DEPUTADO FEDERAL,SILVANO OLIVEIRA DA SILVA,2809
1959,DEPUTADO FEDERAL,ALESSANDRO FELIX DA SILVA,308
1965,DEPUTADO FEDERAL,REGINA CELIA FERREIRA CORDEIRO,108
1977,DEPUTADO FEDERAL,VALERIA PEREIRA PINHEIRO,853
1988,DEPUTADO FEDERAL,MARIA GRACIETE SOUZA MAUES,828
1999,DEPUTADO FEDERAL,JOSE AUGUSTO DA CONCEICAO,6336
2000,DEPUTADO FEDERAL,GABRIEL DA SILVA MODESTO,3700
2007,DEPUTADO FEDERAL,JOÃO BERNARDES DOS SANTOS,195
2010,DEPUTADO FEDERAL,RAYDSON BENTES DOS SANTOS,3363
2011,DEPUTADO FEDERAL,IRANILDE MOTA OLIVEIRA RUSSO,1411
2012,DEPUTADO FEDERAL,JOÃO PANTOJA DE LIMA,1400
2015,DEPUTADO FEDERAL,ADILENA DE SOUSA REBELO FELIX,247
2016,DEPUTADO FEDERAL,JOÃO AGRIPINO DA CRUZ,713
2017,DEPUTADO FEDERAL,KELITA DA COSTA OLIVEIRA,799
2020,DEPUTADO FEDERAL,JULIA MARIA GODINHO DA CRUZ MARINHO,34489
2021,DEPUTADO FEDERAL,ANTONIO CAVALCANTE DA SILVA FILHO,568
2022,DEPUTADO FEDERAL,WELLINGTON DE SOUZA GALDINO,15111
2030,DEPUTADO FEDERAL,JAVIER MARCELO CAHUANA VILLEGAS,335
2033,DEPUTADO FEDERAL,TELMO LIMA MARINHO,327
2040,DEPUTADO FEDERAL,MELQUISEDEC NEGRÃO CORREA JUNIOR,611
2044,DEPUTADO FEDERAL,MATEUS FERRAZ SOUZA,868
2045,DEPUTADO FEDERAL,ERIC  ALEXANDRE MADONADO CUNHA,140
2050,DEPUTADO FEDERAL,WALDIRENE DA COSTA OLIVEIRA,497
2055,DEPUTADO FEDERAL,SEBASTIANA MARIA MELUL DE OLIVEIRA,432
2200,DEPUTADO FEDERAL,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,122553
2202,DEPUTADO FEDERAL,EGLEA MARIA NUNES SANTIAGO GONÃALVES,932
2210,DEPUTADO FEDERAL,MALAQUIAS JOSE MOTTIN,20434
2217,DEPUTADO FEDERAL,LENILDO MENDES DOS SANTOS SERTÃO,106349
2220,DEPUTADO FEDERAL,LEANDRO DOS SANTOS MARAMALDO,9191
2222,DEPUTADO FEDERAL,EDER MAURO CARDOSO BARRA,205543
2230,DEPUTADO FEDERAL,ELIZABETH MARCIA DE ARAUJO GONÃALVES,1310
2233,DEPUTADO FEDERAL,EVERALDO JORGE MARTINS EGUCHI,45720
2235,DEPUTADO FEDERAL,KEWIN KATY PYLES,142
2236,DEPUTADO FEDERAL,JOSE RODRIGUES DE MIRANDA,1569
2238,DEPUTADO FEDERAL,IVANICE ANTUNES MARQUES,878
2244,DEPUTADO FEDERAL,WAISHINGTON LUIS DE OLIVEIRA,1265
2245,DEPUTADO FEDERAL,ANTONIO GERALDO CARMO DA COSTA,351
2250,DEPUTADO FEDERAL,ANA PAULA BARRETO ALVES,1626
2270,DEPUTADO FEDERAL,FABIO ARAUJO FERNANDES,1072
2277,DEPUTADO FEDERAL,SYGLEA REJANE DOS SANTOS VIEIRA,1900
2280,DEPUTADO FEDERAL,EDIVALDO SANTOS,1381
2288,DEPUTADO FEDERAL,LINCOLN CASTALDELLI TRAGANTE GOMES,1689
2300,DEPUTADO FEDERAL,OLENA MARIA PEREIRA MACHADO,1840
2323,DEPUTADO FEDERAL,ARNALDO JORDY FIGUEIREDO,17411
2356,DEPUTADO FEDERAL,EVERALDO FRANÃA NUNES,3488
2800,DEPUTADO FEDERAL,ANTONIO ALVES MENDES,1521
2801,DEPUTADO FEDERAL,BRUNO CLISMAN CHAGAS PEREIRA,142
2808,DEPUTADO FEDERAL,ALESSANDRA PINHEIRO TENORIO,525
2810,DEPUTADO FEDERAL,LUIZ EVANDRO PIRES DE OLIVEIRA,364
2812,DEPUTADO FEDERAL,CLEBER FERREIRA DA COSTA,109
2817,DEPUTADO FEDERAL,MARIA ESMERALDA BARROS ARAUJO EVANGELISTA,134
2822,DEPUTADO FEDERAL,GABRIEL BATALHA MIRANDA DE OLIVEIRA,858
2828,DEPUTADO FEDERAL,KLEBER DURANS MATOS,31
2855,DEPUTADO FEDERAL,MARCELA RAMOS DE MATOS,180
2877,DEPUTADO FEDERAL,JOAO BATISTA RODRIGUES DE OLIVEIRA,2635
3500,DEPUTADO FEDERAL,PAULO DE SOUSA BASTOS,228
3507,DEPUTADO FEDERAL,ADRIANA DOS SANTOS CORDEIRO,228
3511,DEPUTADO FEDERAL,LINDABEL CRISTINA SANTOS CAVALCANTE,42
3522,DEPUTADO FEDERAL,MARIA LÃCIA MENESES DOS SANTOS,121
3534,DEPUTADO FEDERAL,ASSAD ELIAS DA COSTA SCAFF,99
3535,DEPUTADO FEDERAL,ANTONIONE CARVALHO DA CINTRA,148
3555,DEPUTADO FEDERAL,VERA LÃCIA DA COSTA FERREIRA,370
3577,DEPUTADO FEDERAL,WELTON SIDNEY GUIMARAES DE OLIVEIRA,60
3600,DEPUTADO FEDERAL,CARLOS REUTMAN SANTOS DA SILVA,272
3607,DEPUTADO FEDERAL,ALVARO DE JESUS AMARAL SOUZA,78
3610,DEPUTADO FEDERAL,ANTONIO CARLOS PALHA COELHO,28
3611,DEPUTADO FEDERAL,FABIANO DOS SANTOS PINHO,52
3615,DEPUTADO FEDERAL,CLEIDE REGINA CASTRO DA SILVA,141
3617,DEPUTADO FEDERAL,ELENARA DE SOUZA ARAUJO,238
3620,DEPUTADO FEDERAL,ANGELA MARIA MORAES DA SILVA,238
3623,DEPUTADO FEDERAL,PATRÃCIA NATALINA MORAES GOMES ALMEIDA,64
3636,DEPUTADO FEDERAL,MARIA DO SOCORRO DOS SANTOS PINHEIRO,374
3664,DEPUTADO FEDERAL,AUGUSTO ILSON PEDROSA,44
3677,DEPUTADO FEDERAL,ELTON ASSIS DE QUEIROZ,665
3684,DEPUTADO FEDERAL,SÃDINE CORRÃA VIÃGAS,303
3699,DEPUTADO FEDERAL,ANTONIO CARLOS LUCENA DE OLIVEIRA,41
4000,DEPUTADO FEDERAL,ANA KAROLINA BULHÃES PINHEIRO,3106
4001,DEPUTADO FEDERAL,BRUNA FRANCISCO ALMEIDA RODRIGUES,4407
4007,DEPUTADO FEDERAL,MARCIO RODRIGUES DOS SANTOS,5330
4010,DEPUTADO FEDERAL,ELENILSON JOSE SANTOS DA COSTA,5160
4011,DEPUTADO FEDERAL,CÃSSIO COELHO ANDRADE,85612
4012,DEPUTADO FEDERAL,ARINOS DE BRITO CHAVES,5148
4015,DEPUTADO FEDERAL,ELDER DA SILVA FEIO,12935
4020,DEPUTADO FEDERAL,DIEGO HENRIQUE MONTEIRO MAIA,8984
4021,DEPUTADO FEDERAL,EVANILDE GOMES FRANCO,1528
4022,DEPUTADO FEDERAL,THIAGO MACIEL NEVES,16467
4027,DEPUTADO FEDERAL,ANTÃNIO CARLOS RIBEIRO CONDE,7792
4030,DEPUTADO FEDERAL,JULIANNA MARIA ÃLVARES COSTA PINTO,706
4032,DEPUTADO FEDERAL,MICHELL MENDES DURANS DA SILVA,4044
4035,DEPUTADO FEDERAL,HENRIETTE WALDIVIA  TEIXEIRA DE BARROS,898
4040,DEPUTADO FEDERAL,JOSE FRANCISCO DE JESUS PANTOJA PEREIRA,16589
4045,DEPUTADO FEDERAL,FERNANDO ANTONIO SANTANA REIS,4981
4050,DEPUTADO FEDERAL,LILIANA MARIA TORRES CALDAS,2568
4099,DEPUTADO FEDERAL,WANDERLEI NOGUEIRA DE SOUSA,2238
4300,DEPUTADO FEDERAL,FERNANDO DA CRUZ SILVA,346
4343,DEPUTADO FEDERAL,CRISTINA VASCONCELOS NUNES,1856
4400,DEPUTADO FEDERAL,HÃLIO LEITE DA SILVA,97767
4401,DEPUTADO FEDERAL,AUGUSTO CESAR CAMPOS MENDES,1605
4404,DEPUTADO FEDERAL,IRISLENE DE SOUSA,867
4410,DEPUTADO FEDERAL,JOELMA DE MOURA LEITE,2072
4411,DEPUTADO FEDERAL,JOSE WILLIAN GONCALVES DE OLIVEIRA,8128
4413,DEPUTADO FEDERAL,LUZIANE CRAVO SILVA,8380
4417,DEPUTADO FEDERAL,MARILIA GABRIELA CONTENTE GOMES,1224
4422,DEPUTADO FEDERAL,PAULO ROBERTO FRANCISCO DA SILVA,2938
4433,DEPUTADO FEDERAL,CARLOS JOSÃ RODRIGUES ARAÃJO,2274
4438,DEPUTADO FEDERAL,AGUINALDO CARVALHO DE AGUIAR,6752
4440,DEPUTADO FEDERAL,EMMANUEL JOSE MACHADO CUNHA,1350
4444,DEPUTADO FEDERAL,CELSO SABINO DE OLIVEIRA,142326
4455,DEPUTADO FEDERAL,CLAUDIO MARIANO SILVA,10017
4456,DEPUTADO FEDERAL,SIMONE CAROLE CAMPELO KAHWAGE DOS SANTOS,1705
4477,DEPUTADO FEDERAL,JAIR DA SILVA NEVES,9408
4488,DEPUTADO FEDERAL,VANESSA COSTA TAVARES FARIAS,1727
4490,DEPUTADO FEDERAL,SIMONE FRANCESKA PINHEIRO DAS CHAGAS,5609
4499,DEPUTADO FEDERAL,DILERMANO GOMES TAVARES,3557
4500,DEPUTADO FEDERAL,ANTONIO MARCIO FARIAS GONÃALVES,16743
