NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
2020,DEPUTADO FEDERAL,OSIRES RODRIGUES DAMASO,41113
2022,DEPUTADO FEDERAL,RAIMUNDO NONATO NORONHA ALVES,804
2023,DEPUTADO FEDERAL,ROBERT DELMONDES BARBOSA,2261
2025,DEPUTADO FEDERAL,ELIANE SOARES DE SOUSA,693
2030,DEPUTADO FEDERAL,MAIRAN MORAIS NASCIMENTO,197
2040,DEPUTADO FEDERAL,MANOEL ARAGÃO DA SILVA,2271
2200,DEPUTADO FEDERAL,ELI DIAS BORGES,35171
2202,DEPUTADO FEDERAL,ELISSAMA DE CARVALHO GOMES,1629
2211,DEPUTADO FEDERAL,ANTONIA JANEIDE GABRIEL CANTILHO LOPES,2112
2217,DEPUTADO FEDERAL,ANTONIO JORGE GODINHO,1466
2222,DEPUTADO FEDERAL,FILIPE MARTINS DOS SANTOS,36293
2233,DEPUTADO FEDERAL,JAIR RODRIGUES DA COSTA,1212
2255,DEPUTADO FEDERAL,MISMA GONÃALVES FERREIRA BATISTA,602
2258,DEPUTADO FEDERAL,LUIS FERNANDO PEREIRA,51
2277,DEPUTADO FEDERAL,PEDRO SOUZA CATINGUEIRO JUNIOR,8194
2300,DEPUTADO FEDERAL,EMMANOEL MARLON PEREIRA,1024
2323,DEPUTADO FEDERAL,LUCIANO ARRUDA DE LIMA,41
2344,DEPUTADO FEDERAL,MARIA APARECIDA BELTRÃO PEREIRA,112
2700,DEPUTADO FEDERAL,ROGERIO LUNAS RODRIGUES,22
2707,DEPUTADO FEDERAL,ARACELY JOSÃ MACIEL,293
2717,DEPUTADO FEDERAL,MARIA LUCIA MACHADO DE CASTRO,144
2720,DEPUTADO FEDERAL,WELMISCLENE FERREIRA DOS SANTOS SILVA,4
2722,DEPUTADO FEDERAL,PAULO CEZAR DOS SANTOS,33
2723,DEPUTADO FEDERAL,JOÃO PAULO LOPES DE SOUZA,97
2727,DEPUTADO FEDERAL,SILVINO VITOR PERES DE SANTANA,200
2750,DEPUTADO FEDERAL,IVONETE FERREIRA DA SILVA,231
2788,DEPUTADO FEDERAL,ISAIAS DOS SANTOS NETO,1
2811,DEPUTADO FEDERAL,GILDERSON PORTILHO SANTIAGO,3
2822,DEPUTADO FEDERAL,ELENA SIRINO DOS SANTOS,55
2828,DEPUTADO FEDERAL,EUDES RIBEIRO DOS SANTOS,455
2877,DEPUTADO FEDERAL,ROMUALDO VIEIRA LIMA,1
2890,DEPUTADO FEDERAL,JEFERSON COELHO DE OLIVEIRA,123
3507,DEPUTADO FEDERAL,YETTE SANTOS SOARES,1072
3535,DEPUTADO FEDERAL,NUBIO GERMANO DA SILVA,102
4000,DEPUTADO FEDERAL,RAFAEL GARCIA SILVA,1255
4001,DEPUTADO FEDERAL,GLEYDSON RANYERE ALVES BARBOSA,142
4010,DEPUTADO FEDERAL,GERSON ALVES DE SOUSA,2115
4013,DEPUTADO FEDERAL,AMANDA SOBREIRA LIMA DE SOUSA,1063
4022,DEPUTADO FEDERAL,CARLOS GEAN FERREIRA LIMA,1094
4041,DEPUTADO FEDERAL,MÃRLON JACINTO REIS,4474
4077,DEPUTADO FEDERAL,ALINE MARIA MOURA DE OLIVEIRA,1100
4080,DEPUTADO FEDERAL,THAMIRES ROSA COSTA LIMA,2530
4343,DEPUTADO FEDERAL,ELIANE CECILIA TOCHTROP,518
4366,DEPUTADO FEDERAL,LEONAM XAVIER GOMES,323
4410,DEPUTADO FEDERAL,ANGELA MARIA SILVA,13046
4411,DEPUTADO FEDERAL,RUBENS DE JESUS UCHÃA,11044
4422,DEPUTADO FEDERAL,GIL FONSECA BARISON,390
4440,DEPUTADO FEDERAL,SOLANY MARIA SOUZA MOREIRA,10599
4444,DEPUTADO FEDERAL,CARLOS HENRIQUE AMORIM,52203
4455,DEPUTADO FEDERAL,VANESSA ALENCAR PINTO,5540
4456,DEPUTADO FEDERAL,YGOR SOUSA CORTEZ,569
4477,DEPUTADO FEDERAL,RODRIGO MENESES MACIEL,9345
4500,DEPUTADO FEDERAL,RAIMUNDO REGO DE NEGREIROS,3470
4510,DEPUTADO FEDERAL,WILLIANS PANS PEREIRA SANTOS,144
4545,DEPUTADO FEDERAL,MARTTHA DE AGUIAR FRANCO RAMOS,6599
4555,DEPUTADO FEDERAL,MARIA DE FÃTIMA PEREIRA DE SENA E SILVA,4656
4560,DEPUTADO FEDERAL,VALTONIA GONÃALVES DOS SANTOS,2543
5011,DEPUTADO FEDERAL,CHARLEIDE MATOS DA CRUZ,913
5047,DEPUTADO FEDERAL,KEILA AGUIAR CALDAS,50
5050,DEPUTADO FEDERAL,JOÃO APARECIDO BAZZOLI,544
5100,DEPUTADO FEDERAL,LEDA ALVES SALES PERINI,3086
5111,DEPUTADO FEDERAL,IARA MARIANA SILVA SOUSA,563
5122,DEPUTADO FEDERAL,HELIO RODRIGUES CARVALHO,808
5123,DEPUTADO FEDERAL,OLIANE DA FONSECA PRADO,887
5129,DEPUTADO FEDERAL,ELENILSON BEZERRA RODRIGUES,127
5144,DEPUTADO FEDERAL,JAIR MEDEIROS DA CUNHA,61
5151,DEPUTADO FEDERAL,LUIZ ALBERTO COQUEIRO FILHO,264
5177,DEPUTADO FEDERAL,DYEGO PEREIRA LIMA,229
5189,DEPUTADO FEDERAL,LUIS DA CONCEIÃÃO DA COSTA,129
5500,DEPUTADO FEDERAL,ELIZABETE ROCHA,15757
5510,DEPUTADO FEDERAL,HUGO WEYSFIELD MENDES,6262
5520,DEPUTADO FEDERAL,RAFAEL RIBEIRO DE FRANCA,314
5521,DEPUTADO FEDERAL,EVERTON CARDOSO DIAS SOARES,750
5522,DEPUTADO FEDERAL,SAULO CAVALCANTE TELES,2169
5535,DEPUTADO FEDERAL,MAURITANIA GOMES DE SOUZA,78
5555,DEPUTADO FEDERAL,GYLWANDER LUIZ PERES MACHADO DE OLIVEIRA,3685
5575,DEPUTADO FEDERAL,GRECIELIA TAVARES COSTA,107
5578,DEPUTADO FEDERAL,JOAQUIM QUINTA NETO BARBOSA,1701
6500,DEPUTADO FEDERAL,ANTÃNIO AIRES COSTA,498
6555,DEPUTADO FEDERAL,LETICIA BRITO DE OLIVEIRA SUARTE,822
7000,DEPUTADO FEDERAL,MARCOS AURELIO MOREIRA DE SOUZA,2124
7001,DEPUTADO FEDERAL,EMMANUEL RODRIGO ROSA ROCHA,1198
7005,DEPUTADO FEDERAL,HELENA SOCORRO DA SILVA,150
7025,DEPUTADO FEDERAL,PAULO ERIVAN LIMA PEREIRA,140
7030,DEPUTADO FEDERAL,ANGELA MARIA CRUZ BORBA,162
7033,DEPUTADO FEDERAL,ANTONIO CARLOS LOPES REZENDE,152
7038,DEPUTADO FEDERAL,CHARLES NUNES DE OLIVEIRA,944
7070,DEPUTADO FEDERAL,GLEYSON RAMOS DE SOUSA,968
7077,DEPUTADO FEDERAL,JORDYANY ALVES NAVES DE OLIVEIRA,196
