NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
3640,DEPUTADO FEDERAL,EDVAN NOGUEIRA BERNARDINO,103
3660,DEPUTADO FEDERAL,FRANCISCA OZILENE PEREIRA NOGUEIRA CARVALHO,68
3680,DEPUTADO FEDERAL,LEONARDO MÃRCIO SANTOS DE MESQUITA,119
3688,DEPUTADO FEDERAL,ADRIANA DE ARAÃJO FERREIRA,54
3690,DEPUTADO FEDERAL,VICENTE CLAUDIO DE MOURA,245
3696,DEPUTADO FEDERAL,JOSÃ IRAPUAN DE MEDEIROS,212
4000,DEPUTADO FEDERAL,DENIS ANDERSON DA ROCHA BEZERRA,118822
4001,DEPUTADO FEDERAL,MARIA ISLANDIA DA COSTA ROCHA,2292
4003,DEPUTADO FEDERAL,LEONIDES AZEVEDO CAVALCANTE,1933
4004,DEPUTADO FEDERAL,LUISA GONÃALVES DA SILVA,542
4010,DEPUTADO FEDERAL,PAULO DE TARSO FACO BEZERRA,2246
4011,DEPUTADO FEDERAL,MARIA GUERRA DE FARIAS,4034
4012,DEPUTADO FEDERAL,ALANDERSON DE CASTRO MANGUEIRA,9043
4013,DEPUTADO FEDERAL,RENATO CÃLIO CHAVES RODRIGUES,4916
4020,DEPUTADO FEDERAL,FRANCISCO EVANDO DELFINO MARREIRO,1446
4022,DEPUTADO FEDERAL,EDUARDO ANDRÃ MAGALHÃES TELES,919
4029,DEPUTADO FEDERAL,ANDREA MAIA LANDIM,3934
4033,DEPUTADO FEDERAL,WASHINGTON SABOIA VITORINO,1177
4040,DEPUTADO FEDERAL,FRANCISCO CARLOS MACEDO TAVARES,5039
4044,DEPUTADO FEDERAL,MARCOS NAUBER FERREIRA ESTACIO,1085
4050,DEPUTADO FEDERAL,HEITOR CLAUDIO PORTELA DE HOLANDA,4711
4051,DEPUTADO FEDERAL,ELZA MARIA BARBOSA ALVES,127
4055,DEPUTADO FEDERAL,FRANCISCO PEREIRA GAMA,1450
4077,DEPUTADO FEDERAL,DANIELE PIMENTEL DE OLIVEIRA,1114
4080,DEPUTADO FEDERAL,CICERO MARCIO BRITO DE OLIVEIRA,314
4085,DEPUTADO FEDERAL,PAULO SALAZAR PRIMO JUNIOR,556
4088,DEPUTADO FEDERAL,MARÃLIA FREIRE PAIVA,4434
4090,DEPUTADO FEDERAL,FRANCISCO DANIEL TEIXEIRA BALBINO,359
4099,DEPUTADO FEDERAL,ALÃPIO RODRIGUES DE OLIVEIRA NETO,3306
4321,DEPUTADO FEDERAL,MARIANA DA SILVA CAVALCANTI,1698
4343,DEPUTADO FEDERAL,RAIMUNDO MARCELO CARVALHO DA SILVA,2567
4400,DEPUTADO FEDERAL,LUIZ CARLOS CARDOSO DO NASCIMENTO JUNIOR,7480
4406,DEPUTADO FEDERAL,FRANCISCO NELHO BEZERRA,3795
4410,DEPUTADO FEDERAL,CARLOS MATOS LIMA,34584
4411,DEPUTADO FEDERAL,VALDERLAN ALVES DE SOUZA,53031
4412,DEPUTADO FEDERAL,PEDRO RIBEIRO FILHO,3545
4420,DEPUTADO FEDERAL,IZAURA TAVARES SOARES,289
4422,DEPUTADO FEDERAL,JULIERME LIMA DE SENA,38619
4423,DEPUTADO FEDERAL,FRANCISCA MARIA DOS SANTOS CABRAL,518
4432,DEPUTADO FEDERAL,MARIA VANESSA SILVA,1051
4433,DEPUTADO FEDERAL,AGRIPINO RODRIGUES GOMES MAGALHAES,12033
4440,DEPUTADO FEDERAL,CAETANO GUEDES NETO,10786
4441,DEPUTADO FEDERAL,HELIO VENTURA DE OLIVEIRA FILHO,2490
4444,DEPUTADO FEDERAL,HEITOR RODRIGO PEREIRA FREIRE,48888
4445,DEPUTADO FEDERAL,DAMIAO SOARES TENORIO,26815
4447,DEPUTADO FEDERAL,FRANCISCO DANILO BASTOS FORTE,88470
