NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
5590,DEPUTADO FEDERAL,BERNARDO DA SILVA LIMA JUNIOR,221
6500,DEPUTADO FEDERAL,MARIA PENHA DA SILVEIRA,142
6513,DEPUTADO FEDERAL,SAMUEL COSTA MENEZES,1607
6565,DEPUTADO FEDERAL,JOÃO CERQUEIRA DE SOUZA,371
7000,DEPUTADO FEDERAL,DAIHANE REGINA LOPES GOMES,674
7007,DEPUTADO FEDERAL,VANUZA DO NASCIMENTO MACHADO,293
7011,DEPUTADO FEDERAL,EDSON VANDER LENZI KAWAI,20
7013,DEPUTADO FEDERAL,IONARDO RODRIGUES DE ALENCAR,253
7022,DEPUTADO FEDERAL,WELISON NUNES DA SILVA,6939
7038,DEPUTADO FEDERAL,CLARINDO ROMÃO NETO,313
7050,DEPUTADO FEDERAL,MARIA RITA DA SILVA SOUZA,1460
7070,DEPUTADO FEDERAL,BRENO MENDES DA SILVA FARIAS,11077
7090,DEPUTADO FEDERAL,ADOLFO GONSALO DO ESPIRITO SANTO JUNIOR,478
7700,DEPUTADO FEDERAL,RAQUEL PEREIRA DE SOUZA,813
7711,DEPUTADO FEDERAL,JURANDIR DIAS DA SILVA,180
7712,DEPUTADO FEDERAL,ROBERT TAKESHI MURACAMI,208
7715,DEPUTADO FEDERAL,ADRIANO SOARES DE LIMA,194
7721,DEPUTADO FEDERAL,ADRIANA EMILIA BAPTISTA,543
7733,DEPUTADO FEDERAL,NILVIA DURAN SIDON,4
7777,DEPUTADO FEDERAL,VANILTON SEBASTIAO NUNES DA CRUZ,159
7791,DEPUTADO FEDERAL,RANGEL SILVA COUTO,105
9001,DEPUTADO FEDERAL,ERISON GOMES NASCIMENTO,175
9011,DEPUTADO FEDERAL,CIRLEIDE DOS SANTOS SILVA OLIVEIRA,45
9017,DEPUTADO FEDERAL,ROZENDO ALMEIDA LIMA,199
9022,DEPUTADO FEDERAL,MARIA DA CONCEIÃÃO DA CRUZ CORRÃA,129
9038,DEPUTADO FEDERAL,UELITON FRAGA DE PAULA,144
9064,DEPUTADO FEDERAL,CAROLINA GOMES DE OLIVEIRA CRUZ,61
9090,DEPUTADO FEDERAL,CÃIRO TEIXEIRA DA SILVA,404
9091,DEPUTADO FEDERAL,CLEWTON DOS SANTOS SURITA,744
9095,DEPUTADO FEDERAL,EUGÃNIO NACELIO SAMPAIO SILVA,245
