NM_MUNICIPIO,DS_CARGO,NR_VOTAVEL,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS
CUIABA,Vereador,50123,EDILSON ROBERTO MENDES DA ROSA,89
CUIABA,Vereador,50222,ANDREIA LIMA DA SILVA,85
CUIABA,Vereador,50500,JOSÃ ROBERTO DE FREITAS CAVALCANTE,66
CUIABA,Vereador,50555,ANTONIO CARLOS DE JESUS FERNANDES,17
CUIABA,Vereador,50777,VANIA RIBEIRO BARBOSA,30
CUIABA,Vereador,55000,ALBERT EINSTEIN PINTO DE ARRUDA,66
CUIABA,Vereador,55007,ANTONIO LEMES DE PAULA,1820
CUIABA,Vereador,55017,JUCELMA OLIVEIRA DA SILVA,46
CUIABA,Vereador,55023,JOSANE MARIA DIAS NASCIMENTO GONÃALVES,13
CUIABA,Vereador,55045,MARCOS VINICIUS LEVY,136
CUIABA,Vereador,55055,ZILEIDE LUCINDA DOS SANTOS,356
CUIABA,Vereador,55065,SOLANGE GUIA DA SILVA,271
CUIABA,Vereador,55077,ROBERTO MIRANDA PITA,249
CUIABA,Vereador,55111,NAZIRA AUXILIADORA DE AMORIM FONSECA,98
CUIABA,Vereador,55123,BENEDITO SANTANA DE ARRUDA,715
CUIABA,Vereador,55190,ADJAIR PEREIRA DOS SANTOS,53
CUIABA,Vereador,55200,HELENA MARIA DO NASCIMENTO,274
CUIABA,Vereador,55222,MARCIO NERIS DA SILVA,584
CUIABA,Vereador,55301,MAYCON DOUGLAS ALVES DA SILVA,110
CUIABA,Vereador,55321,JOSÃ ADVAIR RIBEIRO,434
CUIABA,Vereador,55333,JURANDIR ZARAMELLO,46
CUIABA,Vereador,55435,JOVANIL PEDRO CRUZ,47
CUIABA,Vereador,55444,MARIA JOSÃ ALVES COSTANESKI,118
CUIABA,Vereador,55456,MARCIO DEODATO CORREIA,11
CUIABA,Vereador,55517,RONALDO JESUS BISPO FIGUEIREDO,199
CUIABA,Vereador,55555,JEFERSON DE SOUZA SIQUEIRA,2468
CUIABA,Vereador,55678,MISAEL OLIVEIRA GALVAO,1388
CUIABA,Vereador,55712,CLEMENTINO GOMES,200
CUIABA,Vereador,55777,ABNER BUENO DE ALMEIDA,85
CUIABA,Vereador,55789,FRANK ANTONIO GARCIA DUARTE,268
CUIABA,Vereador,55999,LEIVA MARIA LOPES,11
CUIABA,Vereador,65090,ANDRÃ AUGUSTO SIRICO,711
CUIABA,Vereador,65123,MARIA DA COSTA MAGALHÃES,55
CUIABA,Vereador,77000,ROBERTO FERNANDES DA SILVA,71
CUIABA,Vereador,77044,ERIKA DEISMAN VILELA BITES,20
CUIABA,Vereador,77077,DILLON CAPOROSSI,903
CUIABA,Vereador,77088,PAULINO SEBASTIÃO DE ARRUDA,239
CUIABA,Vereador,77100,ELIAS PEREIRA DOS SANTOS FILHO,1379
CUIABA,Vereador,77111,MAURÃCIO DA COSTA,192
CUIABA,Vereador,77123,EDUARDO JOÃO DE ARAÃJO,1490
CUIABA,Vereador,77233,CLEO DA COSTA,762
CUIABA,Vereador,77318,JONAS DA SILVA CABANHA,56
CUIABA,Vereador,77321,LUIZ ALBERTO SILVA DE ALMEIDA JUNIOR,421
CUIABA,Vereador,77330,ALIZANGELA DE SOUZA,392
CUIABA,Vereador,77444,UELLINGTON BOTOF VALENÃA,58
CUIABA,Vereador,77456,PLÃNIO PERIOLO PADILHA JUNIOR,188
CUIABA,Vereador,77500,ADEVAIR BATISTA CABRAL,3481
CUIABA,Vereador,77509,APARECIDA ALDAIR FREITAS RODRIGUES DE MORAIS,191
CUIABA,Vereador,77555,MARILDA FATIMA GIRALDELLI,2843
CUIABA,Vereador,77600,NATALICOL DO NASCIMENTO MARQUES,79
CUIABA,Vereador,77650,LUIZ HENRIQUE BOTELHO SENFF,1127
CUIABA,Vereador,77677,THAISA FERNANDA FIGUEIREDO LENZI,411
CUIABA,Vereador,77721,DEBORA CRISTINA JARRETA DE OLIVEIRA,255
CUIABA,Vereador,77770,PEDRINA MARIA DE SANTANA,118
CUIABA,Vereador,77776,SÃRGIO RODRIGUES DA SILVA,80
CUIABA,Vereador,77777,MARCO AURÃLIO RIBEIRO COELHO JUNIOR,1065
CUIABA,Vereador,77888,ZIDIEL INFANTINO COUTINHO JUNIOR,2259
CUIABA,Vereador,77890,APARECIDA MARIA DE FIGUEIREDO,148
CUIABA,Vereador,77999,DANIELLE PEREIRA DA SILVA NASCIMENTO,135
