NM_MUNICIPIO,DS_CARGO,NR_VOTAVEL,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS
CUIABA,Vereador,15075,NASSER HUSSEIN FARES,443
CUIABA,Vereador,15100,ADALBERTO AUGUSTO CAVALCANTE DA SILVA,343
CUIABA,Vereador,15111,ZORAIDE SANTOS QUEIROZ XAVIER,523
CUIABA,Vereador,15123,MARCREAN DOS SANTOS SILVA,3685
CUIABA,Vereador,15150,SINGLAIR CIEKALSKI DE MUSIS,341
CUIABA,Vereador,15155,DEBORA MARQUES VILAR,2868
CUIABA,Vereador,15300,THIAGO CHAGAS DE MORAES BERGAMINI,45
CUIABA,Vereador,15311,CLAUDIA PEDROSO DE OLIVEIRA NAZARIO,125
CUIABA,Vereador,15315,ELIANE ABREU LIMA,31
CUIABA,Vereador,15321,ROBSON FERREIRA LEÃO,46
CUIABA,Vereador,15333,SUZELI CHRISTIANE SOARES GONCALVES,46
CUIABA,Vereador,15444,JUAREZ PEREIRA VIDAL,1193
CUIABA,Vereador,15555,NICASSIO JOSÃ BARBOSA,2975
CUIABA,Vereador,15556,ERVESON JONES PEREIRA DE SOUZA,135
CUIABA,Vereador,15999,PAULO HENRIQUE DE FIGUEIREDO,1147
CUIABA,Vereador,18000,OCIMAR BAIA DE OLIVEIRA,83
CUIABA,Vereador,18065,IRENE MESSIAS DA SILVA,98
CUIABA,Vereador,18085,RONEY JOSÃ SALLES DE OLIVEIRA,27
CUIABA,Vereador,18100,MAURO KLEBER RIBEIRO LEITE,130
CUIABA,Vereador,18123,ERON NUNES CABRAL,138
CUIABA,Vereador,18140,ALEXANDRE PINTO LIBERATTI,4
CUIABA,Vereador,18456,GENILSON MARTINS DA SILVA,83
CUIABA,Vereador,18789,EUDO PEREIRA DA SILVA,53
CUIABA,Vereador,18888,WANIA GRACIA AMORIM LIMA,60
CUIABA,Vereador,18999,EDILENE CÃNDIDA RIBEIRO,44
CUIABA,Vereador,20000,OSCEMÃRIO FORTE DALTRO,1097
