NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
1110,DEPUTADO FEDERAL,MÃNICA PAULA DOS SANTOS FERNANDES,724
1111,DEPUTADO FEDERAL,JULIO LUIZ BAPTISTA LOPES,50019
1112,DEPUTADO FEDERAL,JORGE LUIZ LIMA RANGEL,2985
1113,DEPUTADO FEDERAL,FRANCISCO CARLOS DE FARIAS,1474
1115,DEPUTADO FEDERAL,VALÃRIA BAILÃO MELO,516
1117,DEPUTADO FEDERAL,GLAUCIA MARIA BRENNY,1808
1118,DEPUTADO FEDERAL,ALEXANDRA OLIVEIRA MENEZES,3263
1120,DEPUTADO FEDERAL,PAULO HENRIQUE BRAZ DA COSTA,997
1121,DEPUTADO FEDERAL,ATAIDE FIGUEIRA CARNEIRO JUNIOR,3209
1122,DEPUTADO FEDERAL,FELICIO LATERÃA DE ALMEIDA,39581
1123,DEPUTADO FEDERAL,CINTIA ALVES SALGUEIRO SAVELLI,1794
1125,DEPUTADO FEDERAL,ROBERTO  DE SOUZA EMIDIO,8284
1127,DEPUTADO FEDERAL,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,43937
1131,DEPUTADO FEDERAL,JANE LOUISE RODRIGUES SOUZA,1083
1132,DEPUTADO FEDERAL,CLEBER ANTONIO DA SILVA,2874
1133,DEPUTADO FEDERAL,DANILO CASSANE SOARES,7953
1135,DEPUTADO FEDERAL,ANTONIO CARLOS DOS SANTOS RIBEIRO,331
1138,DEPUTADO FEDERAL,ANDRE LUIS SILVA DE MIRANDA,553
1140,DEPUTADO FEDERAL,CAROLINE MIDORI DA COSTA SILVA,10436
1143,DEPUTADO FEDERAL,LEANDRO FRANCISCO MACHADO NEVES,1210
1144,DEPUTADO FEDERAL,ELIZABETH PATRICIA LAGE,475
1145,DEPUTADO FEDERAL,JANIO COSENDEY NUNES,352
1147,DEPUTADO FEDERAL,RENEIDA DOS SANTOS DA SILVA,326
1150,DEPUTADO FEDERAL,ROBERTO SANT ANA BARROSO,1376
1151,DEPUTADO FEDERAL,DEYSON BAPTISTA THOMÃ,502
1153,DEPUTADO FEDERAL,ANDERSON MELLO VILELA,1075
1154,DEPUTADO FEDERAL,SERGIO RICARDO FERREIRA,483
1155,DEPUTADO FEDERAL,CHRISTINO AUREO DA SILVA,27300
1160,DEPUTADO FEDERAL,LUIZ FERNANDO DUARTE CORREA,667
1166,DEPUTADO FEDERAL,ELIANE DE CASTRO MORAES,2124
1168,DEPUTADO FEDERAL,ROSIMAR DA SILVA FERRAZ MEDEIROS,429
1169,DEPUTADO FEDERAL,CARLOS DARCY ALVES BERSOT,237
1172,DEPUTADO FEDERAL,JORGE SANTANA QUEIROZ,1153
1173,DEPUTADO FEDERAL,IRONILSON BARROS DINIZ,540
1176,DEPUTADO FEDERAL,IVÃNIA DAS GRAÃAS MARTINS,459
1177,DEPUTADO FEDERAL,LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR,190071
1178,DEPUTADO FEDERAL,CARLA ANTUNES MARINS PEREIRA,127
1180,DEPUTADO FEDERAL,PEDRO AUGUSTO PALARETI,21790
1188,DEPUTADO FEDERAL,MARCELLO MORAES  SICILIANO,21104
1189,DEPUTADO FEDERAL,LOURIVAL GOMES DE ALMEIDA,27602
1193,DEPUTADO FEDERAL,ROBERTO ROBADEY COSTA JUNIOR,3022
1196,DEPUTADO FEDERAL,PATRICIA MACHADO ORSI,217
1199,DEPUTADO FEDERAL,HAROLDO VICTORIANO BUNN,2122
1200,DEPUTADO FEDERAL,ALENCAR DACIOLO FONSECA DOS SANTOS,6384
1201,DEPUTADO FEDERAL,ORLANDO ZACCONE DELIA FILHO,3123
1202,DEPUTADO FEDERAL,DAVI DOS SANTOS SOUZA,4655
1203,DEPUTADO FEDERAL,JOSE MANOEL DE LIMA,255
1205,DEPUTADO FEDERAL,HELIO AFONSO SILVA,3012
1208,DEPUTADO FEDERAL,SYLVIO ALEXANDRE GOUVEA,267
1210,DEPUTADO FEDERAL,FRANCISCO JOSE D ANGELO,22782
1211,DEPUTADO FEDERAL,ANDRE LUIZ MONICA E SILVA,13720
1212,DEPUTADO FEDERAL,DAVID MICHAEL DOS SANTOS MIRANDA,2700
1213,DEPUTADO FEDERAL,RAIMUNDO EMILIANO VIEIRA,1151
1214,DEPUTADO FEDERAL,CARLOS ALBERTO CUNHA CRUZ,706
1216,DEPUTADO FEDERAL,MARCOS PAULO BARBOSA TAVARES,62086
1217,DEPUTADO FEDERAL,ESLEY RODRIGUES DE JESUS TEIXEIRA,1032
1218,DEPUTADO FEDERAL,CARLOS JESUS ONTIVEROS GUARDIA,2380
1220,DEPUTADO FEDERAL,RIVERTON MUSSI RAMOS,10519
1221,DEPUTADO FEDERAL,ANICET OKINGA,1715
1222,DEPUTADO FEDERAL,MIRO TEIXEIRA,20805
1223,DEPUTADO FEDERAL,DALMAR LIRIO MAZINHO DE ALMEIDA FILHO,12587
1224,DEPUTADO FEDERAL,MARISTELA GAIO FIGUEIRA,233
1225,DEPUTADO FEDERAL,ANTONIO MARCOS RODRIGUES PIRES,1824
1226,DEPUTADO FEDERAL,SIMONE PEREIRA DA SILVA,728
1228,DEPUTADO FEDERAL,KATIA REGINA DA SILVA SANTOS,258
1232,DEPUTADO FEDERAL,ELIANE DE OLIVEIRA PIRES,561
1235,DEPUTADO FEDERAL,MOISES DA SILVA BOECHAT,1859
1236,DEPUTADO FEDERAL,LUIZ CARLOS ANDRADE DE SOUZA,2377
1239,DEPUTADO FEDERAL,MARIA HELENA VIEIRA MARTINS,149
1242,DEPUTADO FEDERAL,LORENA CRISTINE SILVA SANTOS,537
1244,DEPUTADO FEDERAL,WAGNER PAULO CORREA AVELLAR,809
1245,DEPUTADO FEDERAL,RENATO FERREIRA DE OLIVEIRA CARIELLO,19230
1250,DEPUTADO FEDERAL,CLAUDIO JOSE DE OLIVEIRA,1967
1251,DEPUTADO FEDERAL,ELAINE SANTOS DE OLIVEIRA,280
1255,DEPUTADO FEDERAL,WOLUSTON GOMES CELESTINO,8455
1256,DEPUTADO FEDERAL,JORGE ROSA DA SILVA,550
1258,DEPUTADO FEDERAL,ANDREA DE MELLO VIEIRA SIQUEIRA,1170
1263,DEPUTADO FEDERAL,ANA BEATRIZ BERNARDES NUNES,4226
1264,DEPUTADO FEDERAL,JOSE MARIA DA SILVA PESSANHA,43
1266,DEPUTADO FEDERAL,BRENO BARBOSA,125
1276,DEPUTADO FEDERAL,MACIEL LEMOS NASCIMENTO,235
1277,DEPUTADO FEDERAL,ROSILENE OLIMPIO DOS SANTOS,810
1282,DEPUTADO FEDERAL,DANIELLE ANDRADE FERNANDES,527
1283,DEPUTADO FEDERAL,LUIS CLAUDIO DE SANTANA,1928
1285,DEPUTADO FEDERAL,GLAUCIA BARBOSA CANDIDO ALVES SLANA,1039
1288,DEPUTADO FEDERAL,PATRICIA ANTUNES CARDOSO,759
1289,DEPUTADO FEDERAL,MARCIA HELENA BRAGA CAMARGO,214
1290,DEPUTADO FEDERAL,PAULO AFONSO CUNHA,553
1291,DEPUTADO FEDERAL,SUANECIR FRANCISCO,423
1292,DEPUTADO FEDERAL,CLAUDIO LUIZ PINTO,321
1299,DEPUTADO FEDERAL,GABRIEL PENIN GARCIA,1163
1300,DEPUTADO FEDERAL,LUIZ LINDBERGH FARIAS FILHO,152219
1301,DEPUTADO FEDERAL,DIMAS DE PAIVA GADELHA JUNIOR,41238
1302,DEPUTADO FEDERAL,WELLINGTON MOREIRA DA SILVA,2812
1303,DEPUTADO FEDERAL,WESLEY DINIZ FURTADO,2810
1305,DEPUTADO FEDERAL,EMÃLIA RACHEL BENDELAK AMOÃDO,581
1307,DEPUTADO FEDERAL,MAIARA FELÃCIO DA SILVA,14481
1310,DEPUTADO FEDERAL,RICARDO LODI RIBEIRO,31490
1311,DEPUTADO FEDERAL,ROGÃRIO LÃCIO MARQUES DA COSTA,897
1312,DEPUTADO FEDERAL,LEONEL BRIZOLA,7989
1313,DEPUTADO FEDERAL,WASHINGTON LUIZ CARDOSO SIQUEIRA,113282
1315,DEPUTADO FEDERAL,JOSE ANTONIO DA SILVA,334
