NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
3030,DEPUTADO FEDERAL,IONARA PINHEIRO BISPO,528
3040,DEPUTADO FEDERAL,ISMITIANY PESSOA REZENDE ARAÃJO,586
3055,DEPUTADO FEDERAL,THIÃRONE BARRÃTO ROCHA,199
3500,DEPUTADO FEDERAL,ANTÃNIO ALAN CARDEK DE JESUS ROCHA,529
3505,DEPUTADO FEDERAL,FRANCILENE MARTINS MINEIRO,141
3507,DEPUTADO FEDERAL,FLAVIO LUCIO ARAUJO DOS REIS,164
3513,DEPUTADO FEDERAL,CARLOS MAGNO DOS REMEDIOS,58
3526,DEPUTADO FEDERAL,DANIELE DA CRUZ CAMBRAIA,71
3530,DEPUTADO FEDERAL,DÃLSON DOS SANTOS MATOS,105
3540,DEPUTADO FEDERAL,MARIA DAS NEVES BARROS PINHEIRO,30
3555,DEPUTADO FEDERAL,REGINALDO PEREIRA SANTOS,278
3567,DEPUTADO FEDERAL,ANN MICHELLE MARQUES BOTELHO,121
3600,DEPUTADO FEDERAL,LAIONES DA SILVA NASCIMENTO,352
3602,DEPUTADO FEDERAL,SAVIO RODRIGUES MESQUITA,339
3606,DEPUTADO FEDERAL,FRANCISCO DAS CHAGAS OLIVEIRA SANTOS,275
3610,DEPUTADO FEDERAL,INALDO DOMINGOS PEREIRA SILVA,1190
3612,DEPUTADO FEDERAL,CLIDENOR RODRIGUES GUIMARAES FILHO,511
3620,DEPUTADO FEDERAL,FERNANDO LOBATO SILVA,622
3622,DEPUTADO FEDERAL,JULIO RODRIGUES HUMILDE,235
3623,DEPUTADO FEDERAL,ANGELA COSTA DE MELO,94
3633,DEPUTADO FEDERAL,SANDRA MARIA ABREU,181
3635,DEPUTADO FEDERAL,MARLON MOURA DE SOUSA,678
3636,DEPUTADO FEDERAL,ANTONIA AUZENIR COELHO PINTO,924
3645,DEPUTADO FEDERAL,QUINTINO DONIZETI MARQUES,171
3653,DEPUTADO FEDERAL,ESTELMO MORAIS CARVALHO,585
3654,DEPUTADO FEDERAL,JONAS TAVARES DIAS,15
3663,DEPUTADO FEDERAL,BRUNA EVERTON DE MORAIS RÃGO SARAIVA LEAO,51
