NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
1999,DEPUTADO FEDERAL,CARLOS AUGUSTO FERREIRA MOREIRA,9148
2200,DEPUTADO FEDERAL,DEBORAH CRISTINA LUCIO DA SILVA,3189
2202,DEPUTADO FEDERAL,CARLOS RENÃE DE OLIVEIRA VENÃNCIO,808
2210,DEPUTADO FEDERAL,LOESTER CARLOS GOMES DE SOUZA,21784
2211,DEPUTADO FEDERAL,RODOLFO OLIVEIRA NOGUEIRA,41773
2222,DEPUTADO FEDERAL,MARCOS SBOROWSKI POLLON,103111
2223,DEPUTADO FEDERAL,BETÃNIA KELLY RODRIGUES DA SILVA,9417
2233,DEPUTADO FEDERAL,LUANA RUIZ SILVA DE FIGUEIREDO,24176
2244,DEPUTADO FEDERAL,WELLINGTON DE OLIVEIRA,6379
2288,DEPUTADO FEDERAL,ROBERTO SANTOS DURÃES,959
2700,DEPUTADO FEDERAL,ROBERTO OSCAR PATZLAFF,271
2727,DEPUTADO FEDERAL,WANDERLÃIA FERREIRA SILVA CANHETE DOS SANTOS,155
2777,DEPUTADO FEDERAL,ANTONIO CARLOS RODRIGUES DE FARIAS,69
2800,DEPUTADO FEDERAL,EVALDO CORREA CHAVES,1292
2808,DEPUTADO FEDERAL,ARILSON PEDRO ARANDA,1049
2822,DEPUTADO FEDERAL,ERASMO MANOEL DA SILVA,3299
2828,DEPUTADO FEDERAL,ELANO HOLANDA DE ALMEIDA,4096
2833,DEPUTADO FEDERAL,VALDECIR HANAUER,1639
2838,DEPUTADO FEDERAL,VIVIANE MOURA DE AZEVEDO TOBIAS,5239
2867,DEPUTADO FEDERAL,FLAVIA SOUZA DA SILVA,475
2888,DEPUTADO FEDERAL,JULIANA GAIOSO PONTES,2042
2899,DEPUTADO FEDERAL,THIAGO ALVES DE OLIVEIRA,1978
2929,DEPUTADO FEDERAL,THIAGO DE CARVALHO ASSAD,84
3000,DEPUTADO FEDERAL,ROGER ALEXANDRE MILAN BROCHADO,556
3001,DEPUTADO FEDERAL,EDUARDO FERRUFINO GUZMAN,2073
3010,DEPUTADO FEDERAL,PAULO DA SILVA RICARTE,329
3030,DEPUTADO FEDERAL,GUSTAVO VEIGA DE LARA,1115
3032,DEPUTADO FEDERAL,GIANI MARIA GRANDO,1376
3033,DEPUTADO FEDERAL,DANIELLE VIEBRANTZ SILVEIRA,1012
3626,DEPUTADO FEDERAL,VITORIA APARECIDA DE MEDEIROS,40
3633,DEPUTADO FEDERAL,CAMILA MARTINS DE ALMEIDA,136
