NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
1900,DEPUTADO FEDERAL,CRISTIANE MARY OTAVIANO DE ALMEIDA DOS SANTOS,490
1919,DEPUTADO FEDERAL,GERALDO ANTÃNIO DE CASTRO,375
1920,DEPUTADO FEDERAL,PAULO CHAGAS,2572
1921,DEPUTADO FEDERAL,ADALBERTO MONTEIRO,962
1973,DEPUTADO FEDERAL,VALDIVINA PEREIRA DA CONCEIÃÃO ALMEIDA,201
1979,DEPUTADO FEDERAL,PAULO RODRIGUES LIMA,130
1988,DEPUTADO FEDERAL,REGIS SOARES MACHADO,829
1991,DEPUTADO FEDERAL,CAROLINE DIAS RIBEIRO,285
1999,DEPUTADO FEDERAL,MANOEL WAGNER ALVINO ALVES,3038
2000,DEPUTADO FEDERAL,VANDERLEI MACIEL LIMA,773
2002,DEPUTADO FEDERAL,GLAUCE CANDIDA LOPES FRANCO,164
2019,DEPUTADO FEDERAL,LUCIANO ALVES DA COSTA SANTOS,979
2020,DEPUTADO FEDERAL,ALESSANDRA ALMEIDA CHIANELLI DUTRA,589
2022,DEPUTADO FEDERAL,ANA PAULA BATISTA SOLEDADE,1464
2033,DEPUTADO FEDERAL,IVAN JOSÃ DE ALMEIDA JUNIOR,273
2044,DEPUTADO FEDERAL,RAFAEL LIMA FREIRE,731
2077,DEPUTADO FEDERAL,LUCIANO NAZARIO FEITOZA,480
2099,DEPUTADO FEDERAL,PAULO ROBERTO SANTOS DA CUNHA,769
2200,DEPUTADO FEDERAL,JOSÃ ROBERTO ARRUDA,17016
2211,DEPUTADO FEDERAL,VINÃCIUS SANTANA ROSSIGNOLI,1029
2222,DEPUTADO FEDERAL,BEATRIZ KICIS TORRENTS DE SORDI,214733
2223,DEPUTADO FEDERAL,MARIA ANGÃLICA BRITO MACHADO,1977
2225,DEPUTADO FEDERAL,JOÃO ALBERTO FRAGA SILVA,28825
2228,DEPUTADO FEDERAL,MARCO AURELIO COSTA,1458
2233,DEPUTADO FEDERAL,RAFAEL DE SÃ SAMPAIO,11762
2238,DEPUTADO FEDERAL,DAVI LIMA SOUSA,3826
2261,DEPUTADO FEDERAL,ANNEBELLE FERREIRA BORGES,1130
2300,DEPUTADO FEDERAL,MARCILENE LIMA DE SOUZA,251
2311,DEPUTADO FEDERAL,LEANDRO DE LIMA LIRA,382
2322,DEPUTADO FEDERAL,HOSANA DO NASCIMENTO CARDOSO,430
2323,DEPUTADO FEDERAL,FRANCISCO DE SOUSA ANDRADE,916
2324,DEPUTADO FEDERAL,MARIANA VALENTIM DE OLIVEIRA SILVA,1058
2325,DEPUTADO FEDERAL,LIDIANE DIAS DE MORAES DOS SANTOS,277
2700,DEPUTADO FEDERAL,LUCINEIDE MARIA DA SILVA LIMA,611
2707,DEPUTADO FEDERAL,MARIA MAECÃ FERREIRA BORGES,112
2717,DEPUTADO FEDERAL,SEBASTIAO JOSE DE SANTANA,339
2722,DEPUTADO FEDERAL,LUIZ GONZAGA DE ANDRADE COSTA DE FRANÃA,359
2727,DEPUTADO FEDERAL,JOSE OSCAR DA SILVA,1448
2733,DEPUTADO FEDERAL,CRISTIAN DE OLIVEIRA LIMA,48
2772,DEPUTADO FEDERAL,PAULO HENRIQUE DE OLIVEIRA MELO,274
2777,DEPUTADO FEDERAL,IVONE LOPES DE CARVALHO,244
2799,DEPUTADO FEDERAL,ANTONIO JOAQUIM DE SOUZA,274
2820,DEPUTADO FEDERAL,MARIA DAS GRAÃAS MOREIRA NASCIMENTO,220
2822,DEPUTADO FEDERAL,KOE KENDY UYARA,77
2829,DEPUTADO FEDERAL,DILMAR NUNES DE CARVALHO,122
2919,DEPUTADO FEDERAL,URIEL SCHRAMM ROITMAN,50
2929,DEPUTADO FEDERAL,RICARDO DE SOUSA MACHADO,118
2939,DEPUTADO FEDERAL,ANA SCHRAMM,113
2949,DEPUTADO FEDERAL,MARILIA VIEIRA MARQUES,139
2999,DEPUTADO FEDERAL,IERI DE SOUSA BRAGA JUNIOR,53
3000,DEPUTADO FEDERAL,PAULO ROBERTO ROQUE ANTONIO KHOURI,18811
3001,DEPUTADO FEDERAL,JOSÃ FERREIRA NETO,214
3020,DEPUTADO FEDERAL,VALTER SOARES SABOIA,900
3030,DEPUTADO FEDERAL,RITA DE CÃSSIA ANTUNES GOMES MASCARENHAS,1817
3033,DEPUTADO FEDERAL,ELAYNE CRISTINA CACHEN GUIMARAES PINHEIRO RATTES,3026
3066,DEPUTADO FEDERAL,JORGE ERNESTO SANCHEZ RUIZ,342
3300,DEPUTADO FEDERAL,FRANCISCO PEREIRA DE SOUSA,1268
3310,DEPUTADO FEDERAL,MONICA VITORIA DOS SANTOS DA COSTA,779
3313,DEPUTADO FEDERAL,JOÃO LIMA FILHO,428
3322,DEPUTADO FEDERAL,TÃCIO ROGÃRIO ALLAN PONTES,926
3326,DEPUTADO FEDERAL,NIVALDO DE OLIVEIRA,431
3333,DEPUTADO FEDERAL,ADERIVALDO MARTINS CARDOSO,1455
3345,DEPUTADO FEDERAL,MARIA ROSA RODRIGUES MARINO CRUZEIRO,1172
3361,DEPUTADO FEDERAL,CLEUSA SOUZA VASCONCELOS,174
3377,DEPUTADO FEDERAL,ANA ELIZA CAMARGO CHACEL,160
3600,DEPUTADO FEDERAL,RAFAEL LOBO DANTAS,1869
3617,DEPUTADO FEDERAL,ELIS NAIR DA PENHA GONÃALVES,11
3622,DEPUTADO FEDERAL,EMY APARECIDA DA SILVA LEITÃO,859
3633,DEPUTADO FEDERAL,HEWERT RITCHARD DE MELO,353
3636,DEPUTADO FEDERAL,ADELSON FELIZARDO DA SILVA,627
3669,DEPUTADO FEDERAL,RIVANE LUCENA MELO PEDRA,53
3677,DEPUTADO FEDERAL,SELMA APARECIDA DA COSTA DOS SANTOS,1085
3688,DEPUTADO FEDERAL,ALEX ALVES NEVES,866
3699,DEPUTADO FEDERAL,ATILA MAIA DA ROCHA,377
4000,DEPUTADO FEDERAL,ANA PAULA BENETE CROZUÃ,1589
4017,DEPUTADO FEDERAL,MARCOS VINICIOS DE JESUS MORAIS,5239
4022,DEPUTADO FEDERAL,MARCOS WESLEY DE SOUSA FEITOSA,29870
4040,DEPUTADO FEDERAL,RODRIGO SOBRAL ROLLEMBERG,51926
4044,DEPUTADO FEDERAL,ESTEVÃO CARVALHO LOPES,1492
4050,DEPUTADO FEDERAL,LARISSA SCHMIDT,611
4055,DEPUTADO FEDERAL,ADNA SANTOS DE ARAÃJO,3050
4067,DEPUTADO FEDERAL,FRANCISCO CRISTIANO LOPES,595
4077,DEPUTADO FEDERAL,ISRAEL MATOS BATISTA,40885
4321,DEPUTADO FEDERAL,LOUISE FERREIRA DE SOUZA,802
4343,DEPUTADO FEDERAL,REGINALDO VERAS COELHO,54557
4400,DEPUTADO FEDERAL,ELIANA MARIA PASSOS PEDROSA,23453
4401,DEPUTADO FEDERAL,RENILSON SANTOS DE ROMA,7129
4411,DEPUTADO FEDERAL,FLÃVIO WERNECK MENEGUELLI,4716
4422,DEPUTADO FEDERAL,FADI FAYEZ FARAJ,14670
4433,DEPUTADO FEDERAL,ELISEU KADESH ROSA ASSUNÃÃO,3253
4440,DEPUTADO FEDERAL,MARIA DO SANTO COSTA SOUSA,5629
4444,DEPUTADO FEDERAL,RODRIGO RODRIGUES FERREIRA GOMES,2637
4445,DEPUTADO FEDERAL,SÃRGIO RONALDO SACE BAUTZER DOS SANTOS FILHO,1472
4455,DEPUTADO FEDERAL,JÃLIA LUCY MARQUES ARAÃJO,20021
4500,DEPUTADO FEDERAL,KARLA VINHAS DE JESUS,1436
4545,DEPUTADO FEDERAL,ANDRÃIA MOURA ZEMUNER,2398
4555,DEPUTADO FEDERAL,LEANDRO NARDY DE ALMEIDA,671
5000,DEPUTADO FEDERAL,DANIELLE DE PAULA BENÃCIO DA SILVA,8958
5010,DEPUTADO FEDERAL,ROSELI FARIA,4820
5013,DEPUTADO FEDERAL,RAPHAEL SEBBA DAHER FLEURY CURADO,15050
5050,DEPUTADO FEDERAL,MARIA FÃTIMA DE SOUSA,7989
5088,DEPUTADO FEDERAL,MARIA EDUARDA KRASNY DE SOUZA DA SILVA,2202
5099,DEPUTADO FEDERAL,THIAGO DE ÃVILA E SILVA OLIVEIRA,5516
5107,DEPUTADO FEDERAL,DANIELA CINTRA RODRIGUES,143
5111,DEPUTADO FEDERAL,SIDRAQUE PINHEIRO DA SILVA,574
5118,DEPUTADO FEDERAL,MARIA CÃCERA SALUSTRIANO CAETANO,541
5123,DEPUTADO FEDERAL,CARLOS ENOCK RODRIGUES ESTEVES,164
5125,DEPUTADO FEDERAL,DANIELLE CRISTHIE GOMES RIBEIRO LIMA SALES,78
5150,DEPUTADO FEDERAL,NÃSIO OLIVEIRA SILVA,176
5151,DEPUTADO FEDERAL,VICTOR OKUBO AGUIAR,1332
5152,DEPUTADO FEDERAL,MARCELO RIBEIRO ARTIAGA,48
5501,DEPUTADO FEDERAL,SHEYLA SOARES SAMPAIO,996
5511,DEPUTADO FEDERAL,ADRIANA MANGABEIRA WANDERLEY,349
5522,DEPUTADO FEDERAL,CHARLES DE MAGALHAES ARAUJO JUNIOR,2290
5544,DEPUTADO FEDERAL,WILBERT GOLDEN BATISTA,23879
5551,DEPUTADO FEDERAL,GILCILENE MARIA DOS SANTOS,4441
5555,DEPUTADO FEDERAL,ANDRÃ OCTÃVIO KUBITSCHEK BARBARA ALVES PEREIRA,20702
5561,DEPUTADO FEDERAL,VIRGÃLIO DO REGO MONTEIRO NETO,9071
5566,DEPUTADO FEDERAL,PEDRO HENRIQUE VIEGAS DE OLIVEIRA,6112
5590,DEPUTADO FEDERAL,NEVITON PEREIRA JUNIOR,1407
6565,DEPUTADO FEDERAL,ANA MARIA PRESTES RABELO,5531
6599,DEPUTADO FEDERAL,FLAUZINO ANTUNES NETO,797
7007,DEPUTADO FEDERAL,HEMERSON DOS SANTOS LUZ,1256
7010,DEPUTADO FEDERAL,PAULO SERGIO BARBOSA DE SÃ,3081
7011,DEPUTADO FEDERAL,ELIED BARBOSA DE OLIVEIRA,591
7022,DEPUTADO FEDERAL,CARLOS SHIGUEO KOBAYASHI,493
7026,DEPUTADO FEDERAL,LUIZ CARLOS ROCHA DA SILVA,2352
7033,DEPUTADO FEDERAL,GISELLE RHAYLLA ANDRADE DE OLIVEIRA,667
7040,DEPUTADO FEDERAL,AMANDA CHRISTINA CABRAL BERTIN,1580
7070,DEPUTADO FEDERAL,ELIZEU DE SOUZA,2111
7090,DEPUTADO FEDERAL,MARIA CLARETE PEREIRA DOS SANTOS BARBOSA,439
7710,DEPUTADO FEDERAL,RODRIGO ANTONIO LOPES BELCHIOR,2736
7722,DEPUTADO FEDERAL,HELIO FRANCISCO DA CRUZ,432
7733,DEPUTADO FEDERAL,FERNANDO FRANCISCO DA SILVA DE SOUZA,172
7757,DEPUTADO FEDERAL,VIVIANE ALVES RODRIGUES FREITAS,331
7761,DEPUTADO FEDERAL,WILMA MARIA SILVA DE MENEZES,633
7770,DEPUTADO FEDERAL,CLODOALDO BATISTA NERI JUNIOR,116
7777,DEPUTADO FEDERAL,RODOLPHO HOTH DOS REIS,478
7788,DEPUTADO FEDERAL,LIGIA BEATRIZ AMORIM AMARAL,234
7790,DEPUTADO FEDERAL,JANISIO BARBOSA DO NASCIMENTO MELO,301
8080,DEPUTADO FEDERAL,CAIO SAD BARBOSA,1472
9000,DEPUTADO FEDERAL,MÃRCIA VALÃRIA CHAVES DE HOLANDA FERREIRA,615
9009,DEPUTADO FEDERAL,ANTONIO HENRIQUE SANTOS RESENDE,366
9010,DEPUTADO FEDERAL,JULIA RODRIGUES MONTEIRO BARROS,362
9015,DEPUTADO FEDERAL,SEVERINO CAJAZEIRAS DE SOUSA OLIVEIRA,2795
9022,DEPUTADO FEDERAL,FRANCISCO MOTA CRUVINEL,112
9023,DEPUTADO FEDERAL,BETHANIA KELLY DE ALMEIDA BARBOSA NOGUEIRA,153
9033,DEPUTADO FEDERAL,LUIZ RAIMUNDO DE OLIVEIRA,52
9061,DEPUTADO FEDERAL,ANTONIO FERNANDO DANTAS DOS SANTOS,364
9090,DEPUTADO FEDERAL,ANTONIO AMAURI MALAQUIAS DE PINHO,571
