NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
BOA VISTA,Vereador,10000,RENATO QUEIROZ,10,REPUBLICANOS,3266
BOA VISTA,Vereador,10007,WALKIRIA  RIBEIRO,10,REPUBLICANOS,3275
BOA VISTA,Vereador,10010,JOCÃLIO GOMES,10,REPUBLICANOS,198
BOA VISTA,Vereador,10022,ZENAIDE,10,REPUBLICANOS,61
BOA VISTA,Vereador,10027,MICHELLY AMORIM,10,REPUBLICANOS,105
BOA VISTA,Vereador,10109,ELTON LENNON ,10,REPUBLICANOS,139
BOA VISTA,Vereador,10111,CARLOS CONTADOR,10,REPUBLICANOS,128
BOA VISTA,Vereador,10123,MANOEL NEVES,10,REPUBLICANOS,3372
BOA VISTA,Vereador,10125,KINHO CORREA,10,REPUBLICANOS,192
BOA VISTA,Vereador,10222,GENILSON COSTA,10,REPUBLICANOS,3744
BOA VISTA,Vereador,10223,ELITON ARAÃJO,10,REPUBLICANOS,591
BOA VISTA,Vereador,10333,ITALO OTAVIO,10,REPUBLICANOS,4024
BOA VISTA,Vereador,10341,ANDREIA GONÃALVES,10,REPUBLICANOS,109
BOA VISTA,Vereador,10351,JOEL JESUS PINHO,10,REPUBLICANOS,109
BOA VISTA,Vereador,10444,CAIO MONTEIRO,10,REPUBLICANOS,133
BOA VISTA,Vereador,10456,PROFESSOR SAMUEL,10,REPUBLICANOS,1295
BOA VISTA,Vereador,10500,JONATHAS GAROTINHO,10,REPUBLICANOS,113
BOA VISTA,Vereador,10555,LOIRA DO PINTOLÃNDIA,10,REPUBLICANOS,238
BOA VISTA,Vereador,10666,LISSANDRA BACELAR,10,REPUBLICANOS,135
BOA VISTA,Vereador,10777,SANDRO BARÃ,10,REPUBLICANOS,2773
BOA VISTA,Vereador,10789,DELCHELLY ,10,REPUBLICANOS,3234
BOA VISTA,Vereador,10800,IVO SOM,10,REPUBLICANOS,74
BOA VISTA,Vereador,10888,PROF. JOÃO LUÃS,10,REPUBLICANOS,58
BOA VISTA,Vereador,10999,ANA CONCEIÃÃO,10,REPUBLICANOS,132
BOA VISTA,Vereador,11000,OZIEL ARAÃJO,11,PP,146
BOA VISTA,Vereador,11007,MAJOR FERNANDO,11,PP,151
BOA VISTA,Vereador,11010,DIONISYO DVD,11,PP,23
BOA VISTA,Vereador,11011,MAJOR DAYANA AULER,11,PP,202
BOA VISTA,Vereador,11050,GILMAR LEITE,11,PP,358
BOA VISTA,Vereador,11111,ALINE REZENDE,11,PP,2779
BOA VISTA,Vereador,11120,BARBARA FALCÃO,11,PP,3254
BOA VISTA,Vereador,11123,MARLON DA MIRAGE,11,PP,2224
BOA VISTA,Vereador,11153,MARCELO DO ANDIROBA,11,PP,126
BOA VISTA,Vereador,11190,CORONEL FRAZÃO,11,PP,963
BOA VISTA,Vereador,11211,MARCELO BATISTA,11,PP,1745
BOA VISTA,Vereador,11222,JULIANA GARCIA,11,PP,1372
BOA VISTA,Vereador,11227,RONALDO DAMASCENO,11,PP,91
BOA VISTA,Vereador,11234,ITALO FERNANDES,11,PP,980
BOA VISTA,Vereador,11244,HERMANO HENDREK,11,PP,1031
BOA VISTA,Vereador,11300,RICHARD ARTISTA,11,PP,157
BOA VISTA,Vereador,11311,PAULISTA,11,PP,95
BOA VISTA,Vereador,11333,IRMÃO ARI,11,PP,85
BOA VISTA,Vereador,11345,MIRIAN REIS,11,PP,767
BOA VISTA,Vereador,11444,KLEBER SIQUEIRA,11,PP,1844
BOA VISTA,Vereador,11456,BETH ALMEIDA,11,PP,110
BOA VISTA,Vereador,11555,PASTORA CARLA MESSIAS,11,PP,2432
BOA VISTA,Vereador,11777,OSIEL ANDRADE,11,PP,863
BOA VISTA,Vereador,11789,ISABELLE MADUREIRA,11,PP,29
BOA VISTA,Vereador,12000,LETANIA FONTES,12,PDT,78
BOA VISTA,Vereador,12001,ANDREA BRAGA,12,PDT,85
BOA VISTA,Vereador,12007,KENNEDY MOURA,12,PDT,235
BOA VISTA,Vereador,12012,INSP DANIEL MANGABEIRA,12,PDT,2242
BOA VISTA,Vereador,12015,FLAVINEY,12,PDT,937
BOA VISTA,Vereador,12111,JEU NUNES,12,PDT,2017
BOA VISTA,Vereador,12122,JOÃO RIZZO,12,PDT,1052
BOA VISTA,Vereador,12123,NANÃO ARAGÃO,12,PDT,679
BOA VISTA,Vereador,12174,KELLY CRISTINA,12,PDT,377
BOA VISTA,Vereador,12190,JANDERSON BARBOSA,12,PDT,1363
BOA VISTA,Vereador,12193,SALMA ALENCAR,12,PDT,165
BOA VISTA,Vereador,12222,DELEGADO FRANCISCO,12,PDT,1683
BOA VISTA,Vereador,12234,EDIVALDO DO VIRA KOPOS,12,PDT,398
BOA VISTA,Vereador,12333,PAULO MOTTA,12,PDT,768
BOA VISTA,Vereador,12345,MARCELO NUNES,12,PDT,3284
BOA VISTA,Vereador,12444,SUZANA FRANÃA,12,PDT,433
BOA VISTA,Vereador,12456,NAYARA WANDERLEY,12,PDT,674
BOA VISTA,Vereador,12555,GIDEANE MOURA,12,PDT,749
BOA VISTA,Vereador,12777,WAGNER FEITOSA,12,PDT,837
BOA VISTA,Vereador,12789,EDUARDO REIS,12,PDT,76
BOA VISTA,Vereador,12999,RADIALISTA JANES MIRANDA,12,PDT,718
BOA VISTA,Vereador,13007,MARQUINHO DO PT,13,PT,11
BOA VISTA,Vereador,13111,YNGRID NARRARA,13,PT,24
