NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
1213,DEPUTADO FEDERAL,JORGE LUIS ARAUJO COSTA,2125
1220,DEPUTADO FEDERAL,LUMA MATTOS DE SOUZA,8361
1221,DEPUTADO FEDERAL,VALTER MOACIR REIS DOS SANTOS,1093
1222,DEPUTADO FEDERAL,ALDNEY BASTOS MARQUES,12874
1223,DEPUTADO FEDERAL,CLAUDIO BISPO SILVA,4519
1224,DEPUTADO FEDERAL,LEO KRET DO BRASIL DE SOUZA SANTOS,9012
1225,DEPUTADO FEDERAL,JOSÃ NILTON AZEVEDO LEAL,11871
1230,DEPUTADO FEDERAL,ANTONIO GLICERIO DE SOUZA,5992
1232,DEPUTADO FEDERAL,GLABY CARVALHO DE ANDRADE,1549
1233,DEPUTADO FEDERAL,HOLMES ROCHA DOS SANTOS FILHO,5205
1234,DEPUTADO FEDERAL,FELIX DE ALMEIDA MENDONCA JUNIOR,71774
1235,DEPUTADO FEDERAL,ARNALDO ARAUJO,1998
1236,DEPUTADO FEDERAL,WASHINGTON LUIS AIRES VELOSO,1402
1238,DEPUTADO FEDERAL,IVONALDO MOURA DOS SANTOS,268
1240,DEPUTADO FEDERAL,LAÃSE DOS REIS NERES,1060
1243,DEPUTADO FEDERAL,MELISSA CRISTIAN BUKOWSKI SERBAKE,930
1244,DEPUTADO FEDERAL,LEONARDO SILVA PRATES,143763
1245,DEPUTADO FEDERAL,ISAIAS DOS SANTOS,4500
1246,DEPUTADO FEDERAL,ROBERTO RIVELINO BATISTA FACTUM DOS SANTOS,1467
1250,DEPUTADO FEDERAL,UBIRATAN FERREIRA DOS SANTOS,135
1251,DEPUTADO FEDERAL,PATRUSKA ROCHA BARREIRO,3909
1255,DEPUTADO FEDERAL,ANTONIO CARLOS SILVA SANTOS,755
1258,DEPUTADO FEDERAL,CLERISTON DE JESUS SILVA,161
1260,DEPUTADO FEDERAL,CICERO RODRIGUES DE LIRA,208
1266,DEPUTADO FEDERAL,AVANI DAS VIRGENS DE ALMEIDA,657
1267,DEPUTADO FEDERAL,SAMUEL  EDUARDO SANTANA,555
1277,DEPUTADO FEDERAL,JOELMA DE JESUS NASCIMENTO,886
1280,DEPUTADO FEDERAL,ANDRE LUIZ ELOY COSTA,8344
